UNIT,ID,X,Y,Z,SUFFIX,Prism,code,CL,Length,Width
UNIT,976,52.668,59.377,1195.257,0,0,LITHIC,1a,26.0,22.8
UNIT,976,52.681,59.392,1195.254,1,0,LITHIC,1a,26.0,22.8
UNIT,983,52.131,59.826,1195.252,0,0,LITHIC,1a,25.1,12.6
UNIT,983,52.139,59.81,1195.246,1,0,LITHIC,1a,25.1,12.6
UNIT,1008,51.311,60.03,1195.249,0,0,LITHIC,1a,39.1,11.9
UNIT,1008,51.29,60.022,1195.249,1,0,LITHIC,1a,39.1,11.9
UNIT,1032,52.016,59.678,1195.251,0,0,LITHIC,1a,27.2,18.3
UNIT,1032,52.035,59.686,1195.235,1,0,LITHIC,1a,27.2,18.3
UNIT,1036,52.053,59.436,1195.254,0,0,LITHIC,1a,0.0,0.0
UNIT,1036,52.055,59.427,1195.246,1,0.050000001,LITHIC,1a,0.0,0.0
UNIT,1068,51.506,59.475,1195.238,0,0,LITHIC,1a,25.5,16.7
UNIT,1068,51.522,59.491,1195.225,1,0,LITHIC,1a,25.5,16.7
UNIT,1086,51.315,59.884,1195.225,0,0,LITHIC,1a,26.3,16.5
UNIT,1086,51.289,59.876,1195.222,1,0,LITHIC,1a,26.3,16.5
UNIT,1106,50.734,59.606,1195.216,0,0,LITHIC,1a,37.0,17.2
UNIT,1106,50.744,59.573,1195.219,1,0,LITHIC,1a,37.0,17.2
UNIT,1137,57.924,61.957,1194.937,0,0,LITHIC,1b,46.7,21.7
UNIT,1137,57.898,61.952,1194.924,1,0.050000001,LITHIC,1b,46.7,21.7
UNIT,1140,58.032,62.841,1194.979,0,0,LITHIC,1b,30.0,20.3
UNIT,1140,58.051,62.844,1194.967,1,0,LITHIC,1b,30.0,20.3
UNIT,1142,57.979,64.108,1194.974,1,0,LITHIC,1b,31.2,24.5
UNIT,1142,57.991,64.109,1194.994,0,0,LITHIC,1b,31.2,24.5
UNIT,1146,59.945,66.081,1195.033,0,0,LITHIC,1b,25.3,12.9
UNIT,1146,59.928,66.09,1195.017,1,0,LITHIC,1b,25.3,12.9
UNIT,1158,59.152,63.107,1194.953,0,0,LITHIC,1b,36.2,25.8
UNIT,1158,59.183,63.11,1194.949,1,0,LITHIC,1b,36.2,25.8
UNIT,1177,57.552,66.98,1195.012,1,0,LITHIC,1b,62.1,48.0
UNIT,1177,57.536,66.945,1195.021,0,0,LITHIC,1b,62.1,48.0
UNIT,1189,59.503,63.687,1194.827,0,0.100000001,LITHIC,1b,30.1,28.1
UNIT,1189,59.53,63.696,1194.814,1,0.100000001,LITHIC,1b,30.1,28.1
UNIT,1199,58.31,61.692,1194.894,0,0,LITHIC,1b,57.2,41.3
UNIT,1199,58.367,61.705,1194.851,1,0,LITHIC,1b,57.2,41.3
UNIT,1203,58.485,62.62,1194.854,1,0.050000001,LITHIC,1b,62.3,43.6
UNIT,1203,58.436,62.629,1194.853,0,0.050000001,LITHIC,1b,62.3,43.6
UNIT,1225,59.196,63.156,1194.83,0,0.100000001,LITHIC,1b,0.0,0.0
UNIT,1225,59.197,63.154,1194.82,1,0.100000001,LITHIC,1b,0.0,0.0
UNIT,1227,59.271,63.348,1194.826,1,0.100000001,LITHIC,1b,33.8,19.9
